  0 of 174 `blank.pdf`                     (  2353) 1 pages 0 color 0.001 sec, pass
108 `/Users/pcadmin/go-work/src/trust-me/testdata/8ca1c549e000ee0e22609412cfa00be9faa7.pdf`
109 `/Users/pcadmin/go-work/src/trust-me/testdata/icassp-draft.pdf`
110 `/Users/pcadmin/go-work/src/trust-me/testdata/Role of Team Manager Summer 2016.pdf`
111 `/Users/pcadmin/go-work/src/trust-me/testdata/recht11a.pdf`
112 `/Users/pcadmin/go-work/src/trust-me/testdata/BSD 5 Roster 2017.pdf`
113 `/Users/pcadmin/go-work/src/trust-me/testdata/0165551514551903.pdf`
114 `/Users/pcadmin/go-work/src/trust-me/testdata/Letter to families 7 - 12  re report changes Semester 1 2017.pdf`
115 `/Users/pcadmin/go-work/src/trust-me/testdata/lecture5.pdf`
116 `/Users/pcadmin/go-work/src/trust-me/testdata/P10-1040.pdf`
117 `/Users/pcadmin/go-work/src/trust-me/testdata/WHY LAWYERS ARE UNHAPPY.pdf`
118 `/Users/pcadmin/go-work/src/trust-me/testdata/mehrotra_trick_final2.pdf`
119 `/Users/pcadmin/go-work/src/trust-me/testdata/kuksa08nips.pdf`
120 `/Users/pcadmin/go-work/src/trust-me/testdata/biau08a.pdf`
121 `/Users/pcadmin/go-work/src/trust-me/testdata/se.pdf`
122 `/Users/pcadmin/go-work/src/trust-me/testdata/Deep Neural Networks Do Not Recognize Negative Images.pdf`
123 `/Users/pcadmin/go-work/src/trust-me/testdata/designofasearchablesymmetrickeyciphersystem-120529001108-phpapp02.pdf`
124 `/Users/pcadmin/go-work/src/trust-me/testdata/Letter regarding School Lockdown 180517.pdf`
125 `/Users/pcadmin/go-work/src/trust-me/testdata/twitter_sentimenti.pdf`
126 `/Users/pcadmin/go-work/src/trust-me/testdata/resume.pdf`
127 `/Users/pcadmin/go-work/src/trust-me/testdata/NAPLAN parent letter 2017 (1).pdf`
128 `/Users/pcadmin/go-work/src/trust-me/testdata/knn  v3.pdf`
129 `/Users/pcadmin/go-work/src/trust-me/testdata/1502.03167.pdf`
130 `/Users/pcadmin/go-work/src/trust-me/testdata/Batch Normalization- Accelerating Deep Network Training by Reducing Internal Covariate Shift.pdf`
131 `/Users/pcadmin/go-work/src/trust-me/testdata/Yemeni_Laws92.pdf`
132 `/Users/pcadmin/go-work/src/trust-me/testdata/salsafamily-20071225.pdf`
133 `/Users/pcadmin/go-work/src/trust-me/testdata/IJCTT-V3I1P108.pdf`
134 `/Users/pcadmin/go-work/src/trust-me/testdata/Zendesk FAQ.pdf`
135 `/Users/pcadmin/go-work/src/trust-me/testdata/547.pdf`
136 `/Users/pcadmin/go-work/src/trust-me/testdata/batsbzx201630-20.pdf`
137 `/Users/pcadmin/go-work/src/trust-me/testdata/Interview_with_Christine_Nixon_-_Report.pdf`
138 `/Users/pcadmin/go-work/src/trust-me/testdata/Suffix.pdf`
139 `/Users/pcadmin/go-work/src/trust-me/testdata/RAND_PE198.pdf`
140 `/Users/pcadmin/go-work/src/trust-me/testdata/p.pdf`
141 `/Users/pcadmin/go-work/src/trust-me/testdata/SemanticStates201.pdf`
142 `/Users/pcadmin/go-work/src/trust-me/testdata/bitcoin.pdf`
143 `/Users/pcadmin/go-work/src/trust-me/testdata/Alfa-College-EN.pdf`
144 `/Users/pcadmin/go-work/src/trust-me/testdata/encsearch.pdf`
145 `/Users/pcadmin/go-work/src/trust-me/testdata/Highway-LSTM and Recurrent Highway Networks for Speech Recognition.pdf`
146 `/Users/pcadmin/go-work/src/trust-me/testdata/Highway-LSTM.pdf`
147 `/Users/pcadmin/go-work/src/trust-me/testdata/a_outline.pdf`
148 `/Users/pcadmin/go-work/src/trust-me/testdata/nips01-discriminativegenerative.pdf`
149 `/Users/pcadmin/go-work/src/trust-me/testdata/KEI_UT_Raessler.pdf`
150 `/Users/pcadmin/go-work/src/trust-me/testdata/Term One Sport Junior.pdf`
151 `/Users/pcadmin/go-work/src/trust-me/testdata/2744372.pdf`
152 `/Users/pcadmin/go-work/src/trust-me/testdata/1603.06186v2.pdf`
153 `/Users/pcadmin/go-work/src/trust-me/testdata/suffix-icalp03.pdf`
154 `/Users/pcadmin/go-work/src/trust-me/testdata/explosion-database-choice.pdf`
155 `/Users/pcadmin/go-work/src/trust-me/testdata/shamirturing.pdf`
156 `/Users/pcadmin/go-work/src/trust-me/testdata/Random projections for the nonnegative least-squares problem.pdf`
157 `/Users/pcadmin/go-work/src/trust-me/testdata/dcba-20040404.pdf`
158 `/Users/pcadmin/go-work/src/trust-me/testdata/a_solid.pdf`
159 `/Users/pcadmin/go-work/src/trust-me/testdata/Letter to  Community re Age Story December 2016.pdf`
160 `/Users/pcadmin/go-work/src/trust-me/testdata/1206.6382.pdf`
8 fail
  0 `/Users/pcadmin/go-work/src/trust-me/testdata/Jedi.pdf`
  1 `/Users/pcadmin/go-work/src/trust-me/testdata/A Sunshine - IEP.pdf`
  2 `/Users/pcadmin/go-work/src/trust-me/testdata/2017 Student Residential Address Collection.pdf`
  3 `/Users/pcadmin/go-work/src/trust-me/testdata/COLOR_TEST0.pdf`
  4 `/Users/pcadmin/go-work/src/trust-me/testdata/docpro07aut.pdf`
  5 `/Users/pcadmin/go-work/src/trust-me/testdata/Linguistic Regularities in Continuous Space Word Representations.pdf`
  6 `/Users/pcadmin/go-work/src/trust-me/testdata/703eca3ce8c33c7651811d07e037d38d7a2e.pdf`
  7 `/Users/pcadmin/go-work/src/trust-me/testdata/icnp12-qinghua.pdf`
